City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Ilulissat,90,GL,1570828044,35.6,13.87,69.22,-51.1,80
Cabo San Lucas,20,MX,1570828044,93.2,18.34,22.89,-109.91,62
Castro,90,CL,1570827651,57.2,12.75,-42.48,-73.76,76
Rikitea,67,PF,1570828045,68.81,6.85,-23.12,-134.97,56
Hermanus,100,ZA,1570828046,57,16.6,-34.42,19.24,93
Alofi,75,NU,1570827600,78.8,14.99,-19.06,-169.92,78
Thompson,75,CA,1570827538,37.4,18.34,55.74,-97.86,47
Tasiilaq,100,GL,1570828047,32,2.24,65.61,-37.64,73
Hilo,90,US,1570828047,84.2,9.17,19.71,-155.08,70
Farsund,0,NO,1570828048,54,25.99,58.09,6.8,78
Melbu,0,NO,1570828048,39.2,6.93,68.5,14.83,69
Albany,75,US,1570828049,66.2,8.05,42.65,-73.75,39
Sao Miguel do Araguaia,66,BR,1570828049,92.41,6.24,-13.28,-50.16,29
Grindavik,100,IS,1570827587,46.4,9.17,63.84,-22.43,81
Nianzishan,0,CN,1570828050,24.6,6.69,47.51,122.88,28
Khatanga,100,RU,1570828050,23.27,8.77,71.98,102.47,61
Ushuaia,75,AR,1570828051,41,26.4,-54.81,-68.31,80
Jiwani,0,PK,1570828052,81.52,7.19,25.05,61.74,78
Port Alfred,86,ZA,1570828052,63,6.27,-33.59,26.89,77
Noyabrsk,100,RU,1570828053,36.57,7.79,63.2,75.45,96
Nagaur,0,IN,1570828053,80.31,5.16,27.2,73.74,30
Saint Anthony,1,US,1570828054,45,3.36,43.97,-111.68,29
Cherskiy,100,RU,1570828054,20.21,10.7,68.75,161.3,69
Abu Kamal,100,SY,1570828054,79.77,8.17,34.45,40.92,28
San Jose,40,HN,1570828055,77,11.41,14.25,-87.96,78
Airai,100,TL,1570828055,69.06,5.06,-8.93,125.41,21
Taldan,0,RU,1570828055,18.84,7.46,53.69,124.82,56
Vaini,98,IN,1570828056,69.66,2.65,15.34,74.49,98
Punta Arenas,75,CL,1570828056,46.4,39.15,-53.16,-70.91,65
Iqaluit,75,CA,1570827480,35.6,14.99,63.75,-68.52,69
Shimoda,90,JP,1570827769,72,19.46,34.7,138.93,94
Jackson,1,US,1570828057,42.01,3.36,43.48,-110.76,29
Tecoanapa,40,MX,1570828057,87.8,3.36,16.99,-99.26,74
Busselton,71,AU,1570828058,53.01,9.13,-33.64,115.35,67
Narsaq,100,GL,1570828058,33.8,2.24,60.91,-46.05,86
Tete,20,MZ,1570828059,78.8,16.11,-16.16,33.59,65
Tuatapere,100,NZ,1570827531,45,8.99,-46.13,167.69,93
Salinas,1,US,1570828060,82.99,8.05,36.67,-121.66,10
Provideniya,0,RU,1570828061,27.05,2.51,64.42,-173.23,68
Georgetown,20,GY,1570827653,84.2,11.41,6.8,-58.16,74
Nalut,6,LY,1570827536,68.83,9.69,31.86,10.98,80
Lasa,0,CY,1570828062,73.4,3.36,34.92,32.53,60
Lorengau,100,PG,1570827836,82.74,3.52,-2.02,147.27,71
